"","country","year","key","value"
"122","United States of America",2022,"p2",7
"123","United States of America",2022,"p3",2.67
"124","United States of America",2022,"p4",7
"125","United States of America",2022,"p5",6.5
"126","United States of America",2022,"p6",4.33
"127","Romania",2022,"p1",7
"128","Romania",2022,"p2",6.83
"129","Romania",2022,"p3",2.83
"130","Romania",2022,"p4",7
"131","Romania",2022,"p5",7
"132","Romania",2022,"p6",1.67
"133","Israel",2022,"p1",6.83
"134","Israel",2022,"p2",7
"135","Israel",2022,"p3",2.5
"136","Israel",2022,"p4",7
"137","Israel",2022,"p5",6.17
"138","Israel",2022,"p6",1.83
"139","Italy",2022,"p1",6.67
"140","Italy",2022,"p2",6.33
"141","Italy",2022,"p3",2
"142","Italy",2022,"p4",7
"143","Italy",2022,"p5",6.67
"144","Italy",2022,"p6",2.67
"145","United Kingdom",2022,"p1",7
"146","United Kingdom",2022,"p2",6.67
"147","United Kingdom",2022,"p3",2.33
"148","United Kingdom",2022,"p4",7
"149","United Kingdom",2022,"p5",5.83
"150","United Kingdom",2022,"p6",1
"151","Canada",2022,"p1",7
"152","Canada",2022,"p2",6.83
"153","Canada",2022,"p3",2.5
"154","Canada",2022,"p4",4.67
"155","Canada",2022,"p5",6.17
"156","Canada",2022,"p6",2.5
"157","Taiwan",2022,"p1",7
"158","Taiwan",2022,"p2",7
"159","Taiwan",2022,"p3",1
"160","Taiwan",2022,"p4",7
"161","Taiwan",2022,"p5",5.67
"162","Taiwan",2022,"p6",2
"163","China",2021,"p1",7
"164","China",2021,"p2",2.67
"165","China",2021,"p3",4
"166","China",2021,"p4",7
"167","China",2021,"p5",7
"168","China",2021,"p6",7
"169","Russia",2021,"p1",6.67
"170","Russia",2021,"p2",2.83
"171","Russia",2021,"p3",3.5
"172","Russia",2021,"p4",7
"173","Russia",2021,"p5",5.83
"174","Russia",2021,"p6",4.67
"175","South Korea",2021,"p1",6.67
"176","South Korea",2021,"p2",1.5
"177","South Korea",2021,"p3",1.67
"178","South Korea",2021,"p4",7
"179","South Korea",2021,"p5",5.83
"180","South Korea",2021,"p6",6
"181","United States of America",2021,"p1",6.67
"182","United States of America",2021,"p2",0.33
"183","United States of America",2021,"p3",2.83
"184","United States of America",2021,"p4",7
"185","United States of America",2021,"p5",5.83
"186","United States of America",2021,"p6",4.83
"187","Canada",2021,"p1",6.83
"188","Canada",2021,"p2",1.33
"189","Canada",2021,"p3",0.67
"190","Canada",2021,"p4",7
"191","Canada",2021,"p5",7
"192","Canada",2021,"p6",2.33
"193","Israel",2021,"p1",6.33
"194","Israel",2021,"p2",3.67
"195","Israel",2021,"p3",0.33
"196","Israel",2021,"p4",7
"197","Israel",2021,"p5",5.83
"198","Israel",2021,"p6",0
"199","Italy",2021,"p1",6.83
"200","Italy",2021,"p2",0.67
"201","Italy",2021,"p3",1.5
"202","Italy",2021,"p4",5.83
"203","Italy",2021,"p5",7
"204","Italy",2021,"p6",1.33
"205","Taiwan",2021,"p1",6.83
"206","Taiwan",2021,"p2",0.83
"207","Taiwan",2021,"p3",1.5
"208","Taiwan",2021,"p4",6.67
"209","Taiwan",2021,"p5",4.83
"210","Taiwan",2021,"p6",1.17
"211","United Kingdom",2021,"p1",7
"212","United Kingdom",2021,"p2",0.33
"213","United Kingdom",2021,"p3",0.5
"214","United Kingdom",2021,"p4",5.83
"215","United Kingdom",2021,"p5",5.83
"216","United Kingdom",2021,"p6",2.33
"217","Romania",2021,"p1",6.67
"218","Romania",2021,"p2",0.5
"219","Romania",2021,"p3",1.5
"220","Romania",2021,"p4",6.17
"221","Romania",2021,"p5",2.33
"222","Romania",2021,"p6",0.33
"223","China",2020,"p1",7
"224","China",2020,"p2",6.33
"225","China",2020,"p3",5.17
"226","China",2020,"p4",7
"227","China",2020,"p5",7
"228","China",2020,"p6",3.33
"229","Russia",2020,"p1",7
"230","Russia",2020,"p2",5.17
"231","Russia",2020,"p3",4.67
"232","Russia",2020,"p4",7
"233","Russia",2020,"p5",6
"234","Russia",2020,"p6",1
"235","United States of America",2020,"p1",7
"236","United States of America",2020,"p2",6
"237","United States of America",2020,"p3",2.5
"238","United States of America",2020,"p4",7
"239","United States of America",2020,"p5",7
"240","United States of America",2020,"p6",1
"241","South Korea",2020,"p1",7
"242","South Korea",2020,"p2",5.33
"243","South Korea",2020,"p3",3.67
"244","South Korea",2020,"p4",6.33
"245","South Korea",2020,"p5",6
"246","South Korea",2020,"p6",0.83
"247","Italy",2020,"p1",7
"248","Italy",2020,"p2",5
"249","Italy",2020,"p3",2.17
"250","Italy",2020,"p4",6.83
"251","Italy",2020,"p5",7
"252","Italy",2020,"p6",0.5
"253","United Kingdom",2020,"p1",7
"254","United Kingdom",2020,"p2",5.33
"255","United Kingdom",2020,"p3",0.67
"256","United Kingdom",2020,"p4",7
"257","United Kingdom",2020,"p5",7
"258","United Kingdom",2020,"p6",0.83
"259","Canada",2020,"p1",7
"260","Canada",2020,"p2",4.67
"261","Canada",2020,"p3",2.33
"262","Canada",2020,"p4",7
"263","Canada",2020,"p5",5
"264","Canada",2020,"p6",0.83
"265","Romania",2020,"p1",7
"266","Romania",2020,"p2",4
"267","Romania",2020,"p3",1.17
"268","Romania",2020,"p4",5.83
"269","Romania",2020,"p5",7
"270","Romania",2020,"p6",0.33
"271","Israel",2020,"p1",5.83
"272","Israel",2020,"p2",2.17
"273","Israel",2020,"p3",0.67
"274","Israel",2020,"p4",6.83
"275","Israel",2020,"p5",7
"276","Israel",2020,"p6",1.83
"277","Taiwan",2020,"p1",7
"278","Taiwan",2020,"p2",4
"279","Taiwan",2020,"p3",2
"280","Taiwan",2020,"p4",7
"281","Taiwan",2020,"p5",3.67
"282","Taiwan",2020,"p6",0.5
"283","China",2019,"p1",6.67
"284","China",2019,"p2",6.83
"285","China",2019,"p3",4.5
"286","China",2019,"p4",6.83
"287","China",2019,"p5",7
"288","China",2019,"p6",6
"289","United States of America",2019,"p1",7
"290","United States of America",2019,"p2",6.67
"291","United States of America",2019,"p3",4.33
"292","United States of America",2019,"p4",7
"293","United States of America",2019,"p5",7
"294","United States of America",2019,"p6",5.83
"295","South Korea",2019,"p1",7
"296","South Korea",2019,"p2",6.5
"297","South Korea",2019,"p3",5.17
"298","South Korea",2019,"p4",7
"299","South Korea",2019,"p5",7
"300","South Korea",2019,"p6",5
"301","Russia",2019,"p1",6.5
"302","Russia",2019,"p2",6.67
"303","Russia",2019,"p3",2.83
"304","Russia",2019,"p4",5.83
"305","Russia",2019,"p5",7
"306","Russia",2019,"p6",1
"307","Israel",2019,"p1",7
"308","Israel",2019,"p2",3.17
"309","Israel",2019,"p3",3
"310","Israel",2019,"p4",5.67
"311","Israel",2019,"p5",7
"312","Israel",2019,"p6",0.17
"313","Romania",2019,"p1",7
"314","Romania",2019,"p2",5
"315","Romania",2019,"p3",1.17
"316","Romania",2019,"p4",7
"317","Romania",2019,"p5",5.33
"318","Romania",2019,"p6",0.33
"319","United Kingdom",2019,"p1",6.5
"320","United Kingdom",2019,"p2",5.17
"321","United Kingdom",2019,"p3",0.33
"322","United Kingdom",2019,"p4",5.5
"323","United Kingdom",2019,"p5",6.17
"324","United Kingdom",2019,"p6",1.17
"325","Taiwan",2019,"p1",6.67
"326","Taiwan",2019,"p2",3.5
"327","Taiwan",2019,"p3",1.17
"328","Taiwan",2019,"p4",6.5
"329","Taiwan",2019,"p5",5.67
"330","Taiwan",2019,"p6",1.17
"331","Canada",2019,"p1",7
"332","Canada",2019,"p2",2.67
"333","Canada",2019,"p3",0.5
"334","Canada",2019,"p4",6.5
"335","Canada",2019,"p5",7
"336","Canada",2019,"p6",0.33
"337","Italy",2019,"p1",7
"338","Italy",2019,"p2",6
"339","Italy",2019,"p3",0
"340","Italy",2019,"p4",5
"341","Italy",2019,"p5",5.17
"342","Italy",2019,"p6",0.17
"343","United States of America",2018,"p1",7
"344","United States of America",2018,"p2",6.83
"345","United States of America",2018,"p3",2.33
"346","United States of America",2018,"p4",7
"347","United States of America",2018,"p5",7
"348","United States of America",2018,"p6",5.17
"349","Russia",2018,"p1",7
"350","Russia",2018,"p2",7
"351","Russia",2018,"p3",1.83
"352","Russia",2018,"p4",7
"353","Russia",2018,"p5",6.83
"354","Russia",2018,"p6",3.83
"355","China",2018,"p1",7
"356","China",2018,"p2",6.17
"357","China",2018,"p3",2.83
"358","China",2018,"p4",7
"359","China",2018,"p5",7
"360","China",2018,"p6",3.17
"361","Taiwan",2018,"p1",7
"362","Taiwan",2018,"p2",7
"363","Taiwan",2018,"p3",2.5
"364","Taiwan",2018,"p4",6.17
"365","Taiwan",2018,"p5",4.17
"366","Taiwan",2018,"p6",3
"367","South Korea",2018,"p1",7
"368","South Korea",2018,"p2",7
"369","South Korea",2018,"p3",0.5
"370","South Korea",2018,"p4",7
"371","South Korea",2018,"p5",6
"372","South Korea",2018,"p6",2
"373","United Kingdom",2018,"p1",7
"374","United Kingdom",2018,"p2",5
"375","United Kingdom",2018,"p3",1.17
"376","United Kingdom",2018,"p4",6.17
"377","United Kingdom",2018,"p5",5.5
"378","United Kingdom",2018,"p6",2
"379","Canada",2018,"p1",7
"380","Canada",2018,"p2",4.5
"381","Canada",2018,"p3",0.17
"382","Canada",2018,"p4",7
"383","Canada",2018,"p5",6
"384","Canada",2018,"p6",1.33
"385","Italy",2018,"p1",7
"386","Italy",2018,"p2",5.17
"387","Italy",2018,"p3",0.17
"388","Italy",2018,"p4",6.17
"389","Italy",2018,"p5",6.17
"390","Italy",2018,"p6",1
"391","Israel",2018,"p1",6.33
"392","Israel",2018,"p2",5
"393","Israel",2018,"p3",0.33
"394","Israel",2018,"p4",5.17
"395","Israel",2018,"p5",4.33
"396","Israel",2018,"p6",1.5
"397","Romania",2018,"p1",6.83
"398","Romania",2018,"p2",5.5
"399","Romania",2018,"p3",0
"400","Romania",2018,"p4",4.17
"401","Romania",2018,"p5",4
"402","Romania",2018,"p6",1
"403","South Korea",2017,"p1",7
"404","South Korea",2017,"p2",6.5
"405","South Korea",2017,"p3",0.17
"406","South Korea",2017,"p4",7
"407","South Korea",2017,"p5",3.67
"408","South Korea",2017,"p6",4
"409","China",2017,"p1",7
"410","China",2017,"p2",4.17
"411","China",2017,"p3",0
"412","China",2017,"p4",7
"413","China",2017,"p5",3.17
"414","China",2017,"p6",5.17
"415","United States of America",2017,"p1",7
"416","United States of America",2017,"p2",4.83
"417","United States of America",2017,"p3",0
"418","United States of America",2017,"p4",7
"419","United States of America",2017,"p5",3.83
"420","United States of America",2017,"p6",2
"421","Taiwan",2017,"p1",6.67
"422","Taiwan",2017,"p2",5.17
"423","Taiwan",2017,"p3",0
"424","Taiwan",2017,"p4",7
"425","Taiwan",2017,"p5",1.17
"426","Taiwan",2017,"p6",1.67
"427","United Kingdom",2017,"p1",7
"428","United Kingdom",2017,"p2",2.83
"429","United Kingdom",2017,"p3",0.83
"430","United Kingdom",2017,"p4",7
"431","United Kingdom",2017,"p5",1.33
"432","United Kingdom",2017,"p6",2.67
"433","Russia",2017,"p1",7
"434","Russia",2017,"p2",4.33
"435","Russia",2017,"p3",1.17
"436","Russia",2017,"p4",6.17
"437","Russia",2017,"p5",1.33
"438","Russia",2017,"p6",1.33
"439","Italy",2017,"p1",7
"440","Italy",2017,"p2",3.67
"441","Italy",2017,"p3",0
"442","Italy",2017,"p4",5.67
"443","Italy",2017,"p5",3
"444","Italy",2017,"p6",0
"445","Romania",2017,"p1",7
"446","Romania",2017,"p2",2.83
"447","Romania",2017,"p3",0
"448","Romania",2017,"p4",7
"449","Romania",2017,"p5",1.5
"450","Romania",2017,"p6",0.83
"451","Canada",2017,"p1",7
"452","Canada",2017,"p2",3.67
"453","Canada",2017,"p3",0
"454","Canada",2017,"p4",6.17
"455","Canada",2017,"p5",0.17
"456","Canada",2017,"p6",1.33
"457","Israel",2017,"p1",6.67
"458","Israel",2017,"p2",5.5
"459","Israel",2017,"p3",0
"460","Israel",2017,"p4",5
"461","Israel",2017,"p5",0.17
"462","Israel",2017,"p6",0.5
"463","United States of America",2016,"p1",6.17
"464","United States of America",2016,"p2",7
"465","United States of America",2016,"p3",4.5
"466","United States of America",2016,"p4",7
"467","United States of America",2016,"p5",6.83
"468","United States of America",2016,"p6",4.17
"469","South Korea",2016,"p1",7
"470","South Korea",2016,"p2",6.83
"471","South Korea",2016,"p3",3.83
"472","South Korea",2016,"p4",7
"473","South Korea",2016,"p5",5.5
"474","South Korea",2016,"p6",4.33
"475","China",2016,"p1",7
"476","China",2016,"p2",5
"477","China",2016,"p3",3.33
"478","China",2016,"p4",7
"479","China",2016,"p5",7
"480","China",2016,"p6",4.67
"481","Taiwan",2016,"p1",7
"482","Taiwan",2016,"p2",6.17
"483","Taiwan",2016,"p3",1.17
"484","Taiwan",2016,"p4",6.33
"485","Taiwan",2016,"p5",5
"486","Taiwan",2016,"p6",3.5
"487","Russia",2016,"p1",7
"488","Russia",2016,"p2",4.67
"489","Russia",2016,"p3",1.67
"490","Russia",2016,"p4",6.83
"491","Russia",2016,"p5",6.17
"492","Russia",2016,"p6",1.17
"493","United Kingdom",2016,"p1",5.83
"494","United Kingdom",2016,"p2",6
"495","United Kingdom",2016,"p3",0.67
"496","United Kingdom",2016,"p4",6.83
"497","United Kingdom",2016,"p5",4.67
"498","United Kingdom",2016,"p6",3.5
"499","Canada",2016,"p1",6
"500","Canada",2016,"p2",4.5
"501","Canada",2016,"p3",0.5
"502","Canada",2016,"p4",7
"503","Canada",2016,"p5",5
"504","Canada",2016,"p6",1.67
"505","Italy",2016,"p1",6.83
"506","Italy",2016,"p2",4.67
"507","Italy",2016,"p3",0.33
"508","Italy",2016,"p4",6.33
"509","Italy",2016,"p5",3.67
"510","Italy",2016,"p6",1.17
"511","Romania",2016,"p1",7
"512","Romania",2016,"p2",5
"513","Romania",2016,"p3",0.17
"514","Romania",2016,"p4",6.5
"515","Romania",2016,"p5",2.67
"516","Romania",2016,"p6",0.33
"517","Israel",2016,"p1",7
"518","Israel",2016,"p2",1.5
"519","Israel",2016,"p3",1.5
"520","Israel",2016,"p4",5.67
"521","Israel",2016,"p5",4.5
"522","Israel",2016,"p6",1
"523","United States of America",2015,"p1",7
"524","United States of America",2015,"p2",5.33
"525","United States of America",2015,"p3",5.17
"526","United States of America",2015,"p4",7
"527","United States of America",2015,"p5",4.17
"528","United States of America",2015,"p6",2.17
"529","China",2015,"p1",7
"530","China",2015,"p2",6
"531","China",2015,"p3",2
"532","China",2015,"p4",7
"533","China",2015,"p5",3.67
"534","China",2015,"p6",4.5
"535","South Korea",2015,"p1",7
"536","South Korea",2015,"p2",2.5
"537","South Korea",2015,"p3",3
"538","South Korea",2015,"p4",7
"539","South Korea",2015,"p5",4.17
"540","South Korea",2015,"p6",3.17
"541","Russia",2015,"p1",7
"542","Russia",2015,"p2",3.17
"543","Russia",2015,"p3",1.33
"544","Russia",2015,"p4",7
"545","Russia",2015,"p5",1.5
"546","Russia",2015,"p6",3.5
"547","Canada",2015,"p1",6.5
"548","Canada",2015,"p2",2.83
"549","Canada",2015,"p3",1.17
"550","Canada",2015,"p4",7
"551","Canada",2015,"p5",3.5
"552","Canada",2015,"p6",2.33
"553","Romania",2015,"p1",6.17
"554","Romania",2015,"p2",3.5
"555","Romania",2015,"p3",2
"556","Romania",2015,"p4",7
"557","Romania",2015,"p5",3.33
"558","Romania",2015,"p6",0
"559","Taiwan",2015,"p1",5.83
"560","Taiwan",2015,"p2",1.5
"561","Taiwan",2015,"p3",0.83
"562","Taiwan",2015,"p4",6.67
"563","Taiwan",2015,"p5",3
"564","Taiwan",2015,"p6",1.33
"565","United Kingdom",2015,"p1",7
"566","United Kingdom",2015,"p2",2.5
"567","United Kingdom",2015,"p3",0.5
"568","United Kingdom",2015,"p4",6
"569","United Kingdom",2015,"p5",2
"570","United Kingdom",2015,"p6",0.17
"571","Italy",2015,"p1",4.5
"572","Italy",2015,"p2",2.67
"573","Italy",2015,"p3",2.5
"574","Italy",2015,"p4",4.33
"575","Italy",2015,"p5",2
"576","Italy",2015,"p6",0.67
"577","Israel",2015,"p1",6
"578","Israel",2015,"p2",2.33
"579","Israel",2015,"p3",0.83
"580","Israel",2015,"p4",3
"581","Israel",2015,"p5",1.5
"582","Israel",2015,"p6",0.17
"583","China",2014,"p1",7
"584","China",2014,"p2",7
"585","China",2014,"p3",2.67
"586","China",2014,"p4",7
"587","China",2014,"p5",5.83
"588","China",2014,"p6",4
"589","United States of America",2014,"p1",7
"590","United States of America",2014,"p2",6.67
"591","United States of America",2014,"p3",3.83
"592","United States of America",2014,"p4",7
"593","United States of America",2014,"p5",5.17
"594","United States of America",2014,"p6",2.5
"595","Taiwan",2014,"p1",7
"596","Taiwan",2014,"p2",6.33
"597","Taiwan",2014,"p3",4.67
"598","Taiwan",2014,"p4",7
"599","Taiwan",2014,"p5",4.83
"600","Taiwan",2014,"p6",2.17
"601","Russia",2014,"p1",7
"602","Russia",2014,"p2",6.67
"603","Russia",2014,"p3",4.83
"604","Russia",2014,"p4",7
"605","Russia",2014,"p5",4
"606","Russia",2014,"p6",2.33
"607","South Korea",2014,"p1",7
"608","South Korea",2014,"p2",4.83
"609","South Korea",2014,"p3",3.83
"610","South Korea",2014,"p4",7
"611","South Korea",2014,"p5",4.5
"612","South Korea",2014,"p6",1.5
"613","Canada",2014,"p1",6.83
"614","Canada",2014,"p2",6.17
"615","Canada",2014,"p3",1
"616","Canada",2014,"p4",6.33
"617","Canada",2014,"p5",4
"618","Canada",2014,"p6",2.17
"619","Romania",2014,"p1",6.83
"620","Romania",2014,"p2",6.67
"621","Romania",2014,"p3",1.5
"622","Romania",2014,"p4",7
"623","Romania",2014,"p5",3.67
"624","Romania",2014,"p6",0.33
"625","Israel",2014,"p1",7
"626","Israel",2014,"p2",6.5
"627","Israel",2014,"p3",0.17
"628","Israel",2014,"p4",6.17
"629","Israel",2014,"p5",3.67
"630","Israel",2014,"p6",0.33
"631","United Kingdom",2014,"p1",6.67
"632","United Kingdom",2014,"p2",5.83
"633","United Kingdom",2014,"p3",0.17
"634","United Kingdom",2014,"p4",7
"635","United Kingdom",2014,"p5",4
"636","United Kingdom",2014,"p6",0
"637","Italy",2014,"p1",6.83
"638","Italy",2014,"p2",4.5
"639","Italy",2014,"p3",1.5
"640","Italy",2014,"p4",5.5
"641","Italy",2014,"p5",1.83
"642","Italy",2014,"p6",1.17
"643","China",2013,"p1",7
"644","China",2013,"p2",6.33
"645","China",2013,"p3",5
"646","China",2013,"p4",6.83
"647","China",2013,"p5",7
"648","China",2013,"p6",2.5
"649","South Korea",2013,"p1",7
"650","South Korea",2013,"p2",6.33
"651","South Korea",2013,"p3",4.33
"652","South Korea",2013,"p4",7
"653","South Korea",2013,"p5",6
"654","South Korea",2013,"p6",3.33
"655","United States of America",2013,"p1",7
"656","United States of America",2013,"p2",5.83
"657","United States of America",2013,"p3",2.33
"658","United States of America",2013,"p4",7
"659","United States of America",2013,"p5",6.67
"660","United States of America",2013,"p6",2.83
"661","Russia",2013,"p1",7
"662","Russia",2013,"p2",5.67
"663","Russia",2013,"p3",2.67
"664","Russia",2013,"p4",7
"665","Russia",2013,"p5",6.67
"666","Russia",2013,"p6",2.17
"667","Taiwan",2013,"p1",7
"668","Taiwan",2013,"p2",6.33
"669","Taiwan",2013,"p3",2.17
"670","Taiwan",2013,"p4",7
"671","Taiwan",2013,"p5",4.83
"672","Taiwan",2013,"p6",2
"673","United Kingdom",2013,"p1",7
"674","United Kingdom",2013,"p2",5.5
"675","United Kingdom",2013,"p3",0
"676","United Kingdom",2013,"p4",7
"677","United Kingdom",2013,"p5",6.83
"678","United Kingdom",2013,"p6",2.17
"679","Canada",2013,"p1",7
"680","Canada",2013,"p2",3.83
"681","Canada",2013,"p3",1.17
"682","Canada",2013,"p4",7
"683","Canada",2013,"p5",5.67
"684","Canada",2013,"p6",2.5
"685","Israel",2013,"p1",7
"686","Israel",2013,"p2",6.33
"687","Israel",2013,"p3",1.17
"688","Israel",2013,"p4",7
"689","Israel",2013,"p5",4.67
"690","Israel",2013,"p6",0.67
"691","Italy",2013,"p1",5.67
"692","Italy",2013,"p2",4.5
"693","Italy",2013,"p3",1.5
"694","Italy",2013,"p4",7
"695","Italy",2013,"p5",4.17
"696","Italy",2013,"p6",0
"697","Romania",2013,"p1",6.5
"698","Romania",2013,"p2",1.83
"699","Romania",2013,"p3",1.5
"700","Romania",2013,"p4",7
"701","Romania",2013,"p5",5.17
"702","Romania",2013,"p6",0.33
"703","South Korea",2012,"p1",7
"704","South Korea",2012,"p2",7
"705","South Korea",2012,"p3",3.5
"706","South Korea",2012,"p4",6.5
"707","South Korea",2012,"p5",7
"708","South Korea",2012,"p6",3.83
"709","China",2012,"p1",7
"710","China",2012,"p2",6.67
"711","China",2012,"p3",2.33
"712","China",2012,"p4",5.17
"713","China",2012,"p5",6.33
"714","China",2012,"p6",5
"715","United States of America",2012,"p1",7
"716","United States of America",2012,"p2",6.67
"717","United States of America",2012,"p3",5.5
"718","United States of America",2012,"p4",6.33
"719","United States of America",2012,"p5",3.83
"720","United States of America",2012,"p6",3
"721","Russia",2012,"p1",7
"722","Russia",2012,"p2",5.83
"723","Russia",2012,"p3",3.5
"724","Russia",2012,"p4",6.83
"725","Russia",2012,"p5",4.83
"726","Russia",2012,"p6",1.5
"727","Canada",2012,"p1",7
"728","Canada",2012,"p2",5.33
"729","Canada",2012,"p3",1.5
"730","Canada",2012,"p4",6.5
"731","Canada",2012,"p5",4
"732","Canada",2012,"p6",2.17
"733","Romania",2012,"p1",6.67
"734","Romania",2012,"p2",6
"735","Romania",2012,"p3",1.17
"736","Romania",2012,"p4",6
"737","Romania",2012,"p5",3.33
"738","Romania",2012,"p6",0.83
"739","Taiwan",2012,"p1",7
"740","Taiwan",2012,"p2",3.33
"741","Taiwan",2012,"p3",0.83
"742","Taiwan",2012,"p4",4.83
"743","Taiwan",2012,"p5",3.83
"744","Taiwan",2012,"p6",1.33
"745","United Kingdom",2012,"p1",6
"746","United Kingdom",2012,"p2",2
"747","United Kingdom",2012,"p3",1.5
"748","United Kingdom",2012,"p4",6.83
"749","United Kingdom",2012,"p5",1.83
"750","United Kingdom",2012,"p6",1
"751","Israel",2012,"p1",5.83
"752","Israel",2012,"p2",2.67
"753","Israel",2012,"p3",0.67
"754","Israel",2012,"p4",5.83
"755","Israel",2012,"p5",1.83
"756","Israel",2012,"p6",0.17
"757","Italy",2012,"p1",6.5
"758","Italy",2012,"p2",2.67
"759","Italy",2012,"p3",0.17
"760","Italy",2012,"p4",5
"761","Italy",2012,"p5",1
"762","Italy",2012,"p6",0.17
"763","China",2011,"p1",7
"764","China",2011,"p2",2
"765","China",2011,"p3",7
"766","China",2011,"p4",7
"767","China",2011,"p5",7
"768","China",2011,"p6",1.5
"769","United States of America",2011,"p1",7
"770","United States of America",2011,"p2",3
"771","United States of America",2011,"p3",5.83
"772","United States of America",2011,"p4",7
"773","United States of America",2011,"p5",7
"774","United States of America",2011,"p6",0.83
"775","Russia",2011,"p1",7
"776","Russia",2011,"p2",1.67
"777","Russia",2011,"p3",3.83
"778","Russia",2011,"p4",6.67
"779","Russia",2011,"p5",7
"780","Russia",2011,"p6",0.67
"781","Romania",2011,"p1",6.67
"782","Romania",2011,"p2",0.83
"783","Romania",2011,"p3",4.17
"784","Romania",2011,"p4",7
"785","Romania",2011,"p5",6.5
"786","Romania",2011,"p6",0.5
"787","Taiwan",2011,"p1",7
"788","Taiwan",2011,"p2",1
"789","Taiwan",2011,"p3",2.83
